r2,mae,rmse,model
0.4474663532741108,152.6078275275025,259.12886671186715,Linear Regression
0.8002308280369083,112.15365384615387,155.81191510735974,Random Forest
0.7206781436636662,131.23076923076923,184.24210660474398,Decision Tree
0.7962621053432148,111.49846153846147,157.35202555465827,Bagging
